case_id,topology_name,fault_category,osi_layer,concept_tag,what_was_broken,symptom_description,show_command_used,show_command_output,expected_root_cause,expected_fix,severity,notes,case_type
C001,Lab1_TwoVLAN,VLAN,Layer2,Port in wrong VLAN,interface Fa0/3 -> switchport access vlan 30 (should be vlan 10),"PC1 connected to Fa0/3 cannot ping PC2 (same department, VLAN 10); PC1 has a valid IP, no cable/link light issue.",show vlan brief,"Switch#show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/5, Fa0/6, Fa0/7, Fa0/8
10   Sales                            active    Fa0/1, Fa0/2
30   Guest                            active    Fa0/3, Fa0/4
1002 fddi-default                     act/unsup
1003 token-ring-default              act/unsup
1004 fddinet-default                  act/unsup
1005 trnet-default                    act/unsup","Switchport Fa0/3 is a member of VLAN 30 (Guest) instead of VLAN 10 (Sales), so it is Layer-2 isolated from the rest of Sales even though cabling/IP addressing is fine.","1. Console/SSH into the switch and enter privileged/config mode: enable -> configure terminal
2. Move into the affected interface: interface FastEthernet0/3
3. Re-assign to the correct VLAN: switchport access vlan 10
4. Exit and verify: show vlan brief -- confirm Fa0/3 now lists under VLAN 10
5. Re-test connectivity from PC1 to PC2 with a ping; also check 'show interfaces status' to confirm the port is connected and not err-disabled.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C002,Lab1_TwoVLAN,VLAN,Layer2,Trunk missing allowed VLAN,switchport trunk allowed vlan remove 10 on the inter-switch trunk,All VLAN 10 devices on Switch2 lost contact with VLAN 10 devices on Switch1; VLAN 30 between the switches still works fine.,show interfaces trunk,"Switch1#show interfaces trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1,30

Port        Vlans allowed and active in management domain
Gi0/1       1,30

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       1,30","VLAN 10 has been removed from the trunk's allowed-VLAN list on Gi0/1, so VLAN 10 traffic is never carried across the trunk between switches.","1. Identify the trunk interface with the problem: show interfaces trunk (note which VLANs are missing from 'Vlans allowed on trunk')
2. Enter the interface: interface GigabitEthernet0/1
3. Re-add the missing VLAN: switchport trunk allowed vlan add 10
4. Verify with show interfaces trunk again -- VLAN 10 should now appear in the allowed list
5. Confirm end-to-end connectivity is restored between VLAN 10 hosts on both switches.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C003,Lab1_TwoVLAN,VLAN,Layer2,Native VLAN mismatch,switchport trunk native vlan 99 on one end of the trunk only,Intermittent/odd connectivity issues on the trunk; switch logs show a CDP native VLAN mismatch warning between the two switches.,show interfaces trunk,"Switch1#show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      99

%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99), with Switch2 GigabitEthernet0/1 (1).","The two ends of the 802.1Q trunk have different native VLANs configured (99 on Switch1, 1 on Switch2), which can leak untagged traffic between VLANs and trigger CDP warnings.","1. Check both ends of the trunk: show interfaces trunk on Switch1 AND Switch2, compare the 'Native vlan' column
2. Decide the correct/standard native VLAN for your design (commonly VLAN 1, or a dedicated unused VLAN for security)
3. On the mismatched switch: interface Gi0/1 -> switchport trunk native vlan 1
4. Verify the CDP warning clears and both switches report the same native VLAN
5. Best practice note for your report: using a dedicated, unused native VLAN (not VLAN 1) is a common security hardening step -- mention this as an optional improvement.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C004,Lab1_TwoVLAN,VLAN,Layer2,VLAN not created,no vlan 20 (deleted VLAN 20 from the VLAN database),"All PCs configured for access port VLAN 20 show zero connectivity, including to devices on the same switch.",show vlan brief,"Switch#show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/5, Fa0/6
10   Sales                            active    Fa0/1, Fa0/2
(No entry for VLAN 20 -- ports Fa0/3, Fa0/4 assigned to it are now inactive)

Switch#show interfaces Fa0/3 switchport
Name: Fa0/3
Switchport: Enabled
Administrative Mode: static access
Access Mode VLAN: 20 (Inactive)","VLAN 20 does not exist in the switch's VLAN database (it was deleted), so any port statically assigned to VLAN 20 becomes inactive even though it's administratively configured correctly.","1. Confirm the issue: show vlan brief -- notice VLAN 20 is absent, and show interfaces <port> switchport shows 'Access Mode VLAN: 20 (Inactive)'
2. Recreate the VLAN: configure terminal -> vlan 20 -> name Engineering -> exit
3. Verify recreation: show vlan brief -- VLAN 20 should reappear with its assigned ports listed as active
4. Test connectivity from an affected PC to confirm the port and VLAN are functional again.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C005,Lab1_TwoVLAN,VLAN,Layer2,Port mode dynamic auto/auto mismatch,"Both ends of an inter-switch link left at default 'switchport mode dynamic auto', preventing trunk negotiation","Devices in different VLANs across the two switches cannot reach each other at all, and the link between switches behaves like an access link instead of a trunk.",show interfaces status ; show interfaces switchport,"Switch1#show interfaces Gi0/1 switchport
Name: Gi0/1
Switchport: Enabled
Administrative Mode: dynamic auto
Operational Mode: static access
Administrative Trunking Encapsulation: negotiate
Negotiation of Trunking: On","Both ends of the link are set to 'dynamic auto', which passively waits for the other side to initiate trunk negotiation -- since neither side actively initiates, DTP never forms a trunk and the link stays an access link.","1. Check both switches: show interfaces <port> switchport -- if both report 'Administrative Mode: dynamic auto', that's the issue
2. On at least one end (or both, for clarity/best practice), force trunk mode: interface Gi0/1 -> switchport mode trunk
3. Also explicitly allow the required VLANs: switchport trunk allowed vlan 10,30
4. Re-verify with show interfaces trunk that the link now shows 'Operational Mode: trunk' on both ends
5. Best-practice note: manually setting trunk/access mode (rather than relying on DTP auto-negotiation) is recommended in production networks for predictability and security.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C006,Lab1_TwoVLAN,Gateway,Layer3,Wrong default gateway on host,PC1 static IP config set default gateway to 192.168.10.254 instead of 192.168.10.1,PC1 can ping other hosts on its own subnet but cannot reach any remote subnet or the internet.,ipconfig (on PC1),"PC1> ipconfig

FastEthernet0 Connection:(default port)
Link-local IPv6 Address.......: fe80::...
IP Address.....................: 192.168.10.20
Subnet Mask.....................: 255.255.255.0
Default Gateway.................: 192.168.10.254","PC1's configured default gateway (192.168.10.254) does not exist / does not match the router's actual LAN interface IP (192.168.10.1), so any traffic destined off-subnet has nowhere to go.","1. Confirm the router's real gateway IP: on the router, show ip interface brief -- note the IP on the LAN-facing interface (e.g. Gi0/0.10 = 192.168.10.1)
2. On PC1's IP configuration (Desktop > IP Configuration in Packet Tracer), correct Default Gateway to 192.168.10.1
3. Re-test with ping to a remote subnet or the router itself
4. If several PCs are affected, check whether this was a manual typo or a DHCP pool misconfiguration (see DHCP cases) rather than fixing each PC individually.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C007,Lab3_Routing,Gateway,Layer3,Gateway interface administratively down,interface Gi0/0 -> shutdown (on the router's LAN-facing interface),"Every device on that LAN segment loses connectivity to everything, including other local devices normally reachable through the router -- essentially a total outage for that subnet.",show ip interface brief,"Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.10.1    YES manual administratively down down
GigabitEthernet0/1     192.168.20.1    YES manual up                    up
Serial0/0/0             203.0.113.1    YES manual up                    up","The router's Gi0/0 interface (the gateway for the 192.168.10.0/24 LAN) has been administratively shut down, taking the entire subnet's gateway offline.","1. Identify the down interface: show ip interface brief -- look for 'administratively down' in the Status column
2. Enter the interface and re-enable it: interface GigabitEthernet0/0 -> no shutdown
3. Re-check status: show ip interface brief -- should now show 'up / up'
4. Test connectivity from a PC on that subnet to confirm the gateway and beyond are reachable again.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C008,Lab3_Routing,Gateway,Layer3,Gateway on wrong subnet,Router LAN interface re-addressed to 192.168.99.1/24 instead of 192.168.10.1/24,No host on the LAN can reach the router at all; PCs report destination host unreachable or requests time out even for the gateway's own IP.,show ip interface brief ; ping 192.168.10.1 (from PC),"Router#show ip interface brief
Interface              IP-Address      OK? Method Status   Protocol
GigabitEthernet0/0     192.168.99.1    YES manual up       up

PC1> ping 192.168.10.1

Pinging 192.168.10.1 with 32 bytes of data:
Request timed out.
Request timed out.
Request timed out.
Request timed out.

Ping statistics for 192.168.10.1:
    Packets: Sent = 4, Received = 0, Lost = 4 (100% loss)","The router's LAN interface has been reconfigured onto a completely different subnet (192.168.99.0/24) than the hosts (192.168.10.0/24), so ARP for the expected gateway IP never resolves.","1. Confirm the mismatch: compare show ip interface brief on the router against ipconfig on an affected PC
2. Correct the router's interface IP to match the host subnet: interface Gi0/0 -> ip address 192.168.10.1 255.255.255.0
3. Re-verify: show ip interface brief, then ping from a PC to the corrected gateway IP
4. If DHCP is in use, also confirm the DHCP pool's network/default-router statements match the corrected subnet.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C009,Lab3_Routing,Gateway,Layer3,Duplicate IP with gateway,PC3 manually assigned the same IP as the router's gateway interface (192.168.10.1),Multiple hosts on the subnet experience intermittent connectivity loss; some PCs show a 'duplicate IP address' warning.,show ip arp (on router) ; PC warning dialog,"Router#show ip arp
Protocol  Address          Age (min)  Hardware Addr     Type   Interface
Internet  192.168.10.1              -   0001.42A2.C001    ARPA   GigabitEthernet0/0

PC3 Windows warning: There is an IP address conflict with another system on the network","A host (PC3) has been manually configured with the same IP address as the router's gateway interface, causing an IP/ARP conflict that disrupts traffic for multiple hosts.","1. Identify the conflicting host from the duplicate-IP warning or by checking ipconfig on suspect PCs
2. Reassign PC3 to a free, correct address in the subnet (e.g. 192.168.10.25), avoiding the gateway address and any DHCP-reserved range
3. Release/renew IP on affected devices if using DHCP: ipconfig /release then ipconfig /renew
4. Re-verify with show ip arp on the router that only one MAC address maps to the gateway IP.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C010,Lab2_DHCP_DNS,DHCP,Layer3,DHCP pool exhausted,"ip dhcp pool LAN_POOL -> network 192.168.10.0 255.255.255.252 (shrunk to a /30, only 2 usable addresses)",New PCs connecting to the network fail to get an IP address and self-assign a 169.254.x.x APIPA address.,show ip dhcp pool ; show ip dhcp binding,"Router#show ip dhcp pool

Pool LAN_POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 2
 Leased addresses               : 2
 Pending event                  : none

Router#show ip dhcp binding
IP address       Client-ID/            Lease expiration        Type
                  Hardware address
192.168.10.1      0100.1234.5678       Aug 24 2026 11:59 AM      Automatic
192.168.10.2      0100.9876.5432       Aug 24 2026 11:59 AM      Automatic","The DHCP pool's network statement defines an address space far too small (/30 = 2 usable addresses) for the number of clients, so the pool is fully leased out and rejects new requests.","1. Confirm exhaustion: show ip dhcp pool -- 'Leased addresses' equal to 'Total addresses' confirms the pool is full
2. Correct the pool's subnet size to match the actual LAN: ip dhcp pool LAN_POOL -> network 192.168.10.0 255.255.255.0
3. Adjust any ip dhcp excluded-address ranges if needed so the usable range is appropriately sized
4. Release/renew on an affected client (ipconfig /release, ipconfig /renew) and confirm it now receives a valid address.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C011,Lab2_DHCP_DNS,DHCP,Layer3,DHCP service disabled globally,no service dhcp entered on the router,"No client on the network receives an IP address via DHCP at all, even though the pool configuration itself looks correct.",show run | include service dhcp,"Router#show run | include service dhcp
no service dhcp","The DHCP server function is globally disabled on the router with 'no service dhcp', so it will not respond to any DHCP requests regardless of pool configuration.","1. Check global DHCP status: show run | include service dhcp
2. Re-enable the service: configure terminal -> service dhcp
3. Re-verify: show run | include service dhcp should no longer show the 'no service dhcp' line
4. Test from a client with ipconfig /release then ipconfig /renew.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
